IMMBRIT,over.estimate,RSex,RAge,Househld,paper,WWWhourspW,religious,employMonths,urban,health.good,HHInc,party_self
1,0,1,50,2,0,1,0,72,4,1,13,2
50,1,2,18,3,0,4,0,72,4,2,3,7
50,1,2,60,1,0,1,0,456,3,3,9,7
15,1,2,77,2,1,2,1,72,1,3,8,7
20,1,2,67,1,0,1,1,72,3,3,9,7
30,1,1,30,4,1,14,0,72,1,2,9,7
60,1,2,56,2,0,5,1,180,1,2,13,3
7,0,1,49,1,1,8,0,156,4,2,14,7
30,1,1,40,4,0,3,1,264,2,2,11,3
2,0,1,61,3,1,0,1,72,1,3,8,1
15,1,2,79,1,0,0,0,72,2,1,3,5
50,1,2,61,1,0,0,1,15,3,2,11,7
20,1,1,53,1,1,0,1,24,3,1,6,1
20,1,1,66,2,0,0,0,72,2,2,6,4
35,1,2,30,1,0,2,1,24,2,3,17,1
20,1,2,62,1,0,1,1,72,1,1,5,1
50,1,2,75,1,1,0,0,72,4,2,2,2
5,0,2,24,5,0,3,1,72,1,3,9,4
50,1,2,55,2,1,0,0,42,4,2,6,7
20,1,2,78,1,1,0,1,72,3,2,6,1
20,1,2,45,2,1,2,1,72,3,3,17,7
10,0,2,36,3,0,4,0,36,3,1,7,2
2,0,1,43,4,1,2,0,72,1,3,17,1
10,0,2,42,5,0,0,1,48,3,3,13,7
50,1,1,88,2,1,24,0,72,2,1,9,1
80,1,2,44,1,0,1,0,72,3,2,2,7
5,0,1,39,5,1,12,1,84,3,2,10,1
20,1,2,65,2,0,6,0,72,2,1,9,7
40,1,2,38,4,0,3,0,24,2,3,17,7
10,0,2,71,1,1,0,0,72,2,2,11,2
50,1,1,82,2,1,1,0,72,4,2,9,1
14,1,1,68,2,0,12,1,72,4,3,8,7
20,1,2,39,2,0,0,0,72,3,2,9,7
20,1,1,54,2,0,1,1,276,2,1,16,1
40,1,1,38,5,1,20,1,60,1,2,5,7
50,1,1,39,4,0,0,0,72,1,1,5,7
30,1,2,61,2,1,10,1,72,2,3,17,1
10,0,2,30,1,1,1,0,60,1,3,13,7
40,1,2,33,3,0,25,0,72,3,3,5,6
50,1,2,28,5,0,1,1,72,2,3,9,1
60,1,2,77,2,1,0,1,72,3,2,5,1
35,1,1,45,3,0,7,0,72,3,2,13,7
20,1,1,56,3,1,35,1,96,1,1,15,7
5,0,1,45,1,0,2,0,252,3,2,13,7
4,0,2,59,1,1,1,0,96,1,3,13,2
30,1,1,43,2,1,1,1,72,2,2,3,5
33,1,1,73,2,0,2,1,72,2,2,3,7
10,0,1,34,2,1,2,1,72,4,2,11,1
40,1,2,80,1,1,1,1,72,2,1,13,1
75,1,2,30,5,0,14,1,1,4,2,8,7
10,0,1,72,1,1,0,1,72,1,3,10,3
3,0,1,23,3,1,16,0,72,2,3,15,1
6,0,2,34,4,0,5,0,108,2,2,17,7
20,1,2,87,1,1,0,1,72,1,3,5,1
60,1,2,67,1,0,0,1,72,4,1,9,1
35,1,1,29,1,1,8,0,36,2,1,9,1
3,0,1,25,6,0,3,1,72,2,3,14,7
2,0,2,40,8,0,2,1,72,2,3,15,7
5,0,1,51,3,0,10,1,408,1,1,17,1
20,1,2,39,4,1,1,1,84,4,2,13,7
30,1,2,49,4,1,5,1,48,4,2,13,2
10,0,2,40,1,0,1,0,180,2,3,9,7
10,0,2,62,1,0,0,1,360,2,3,9,7
20,1,2,44,1,1,2,0,4,4,2,9,7
40,1,1,45,4,1,1,1,24,2,2,10,7
3,0,1,41,3,1,6,0,120,1,2,17,7
30,1,1,53,4,0,0,1,72,4,0,3,2
15,1,1,51,1,1,2,0,168,3,0,15,7
30,1,1,23,3,0,25,0,72,2,2,6,2
10,0,2,83,1,1,0,1,72,1,2,9,1
25,1,1,61,2,1,8,0,72,1,2,9,7
0,0,1,33,3,0,20,0,7,4,2,16,7
10,0,2,59,2,0,3,1,360,4,1,12,7
5,0,1,41,3,1,2,0,42,1,3,17,7
60,1,2,94,1,1,0,1,72,2,0,9,7
10,0,1,76,2,1,10,1,72,2,2,17,1
65,1,2,25,5,0,3,0,72,1,0,5,2
75,1,1,75,2,1,0,1,72,3,1,9,2
85,1,2,66,2,1,4,1,72,3,2,6,1
50,1,2,60,2,1,0,1,72,4,3,4,7
10,0,1,67,2,0,0,1,72,4,0,1,2
40,1,2,19,3,0,20,0,72,3,2,17,1
30,1,2,50,3,1,7,0,84,3,2,6,7
10,0,1,60,2,0,1,1,72,2,3,9,1
50,1,2,19,2,0,14,0,72,2,2,9,2
10,0,1,54,2,1,0,0,72,1,2,9,1
5,0,2,38,5,1,7,0,84,4,2,9,7
70,1,2,25,2,0,5,1,12,4,3,11,7
65,1,1,58,3,1,6,1,72,2,0,9,2
20,1,2,36,3,0,1,0,72,1,3,16,1
50,1,2,28,4,0,20,1,26,4,3,5,2
30,1,1,73,1,0,10,1,72,1,3,3,2
40,1,2,38,3,0,3,0,144,3,2,9,7
40,1,1,36,3,0,20,0,1,2,1,13,1
50,1,2,32,3,1,7,0,72,2,2,7,2
35,1,2,57,2,0,12,0,240,2,1,13,1
35,1,2,50,1,0,0,0,72,4,2,3,2
50,1,2,70,1,1,0,1,72,4,2,3,1
15,1,1,48,3,0,1,0,324,4,3,17,1
60,1,1,64,1,1,0,1,72,3,2,3,7
30,1,2,40,4,0,2,1,72,3,3,14,1
18,1,2,52,2,0,6,1,72,1,2,10,1
1,0,2,41,2,0,2,0,120,1,2,16,1
25,1,1,46,1,1,1,0,348,4,2,11,5
50,1,2,56,4,0,10,1,84,1,2,10,7
20,1,2,46,2,1,2,1,180,1,3,9,1
5,0,2,45,4,0,2,1,6,4,2,17,1
20,1,2,71,2,0,2,1,72,4,3,6,2
20,1,2,66,1,0,0,1,72,4,1,4,2
50,1,2,63,1,0,100,0,72,4,1,3,3
40,1,2,25,2,0,0,1,72,3,2,2,7
60,1,1,53,5,1,5,0,84,1,3,13,7
5,0,2,62,2,1,1,0,276,3,2,7,1
50,1,2,47,2,0,35,0,36,4,3,4,7
20,1,2,38,7,1,3,0,48,1,2,17,7
10,0,2,34,4,0,6,0,12,1,2,17,1
80,1,1,52,1,1,0,1,72,4,1,6,7
10,0,1,50,5,0,5,0,72,2,2,17,7
35,1,1,60,3,0,7,1,216,3,2,17,2
12,1,1,31,3,1,10,1,24,3,0,14,1
20,1,2,62,2,0,0,1,72,4,3,3,2
5,0,1,49,1,0,6,0,48,2,1,11,5
0,0,1,57,1,0,0,1,72,4,0,1,2
8,0,1,58,2,0,2,1,72,1,1,15,1
30,1,2,53,4,0,7,0,84,1,3,17,2
10,0,1,36,3,1,1,0,120,1,3,9,7
20,1,1,43,3,0,3,1,24,2,3,14,7
40,1,1,35,2,0,1,0,48,2,3,17,1
40,1,1,29,1,1,4,0,156,3,3,9,5
15,1,1,21,2,0,7,0,2,2,2,9,7
10,0,2,27,3,0,30,1,24,3,3,16,7
40,1,2,88,1,0,0,1,72,4,2,2,2
5,0,1,66,2,1,4,1,72,3,0,10,1
7,0,1,35,1,1,4,0,72,2,3,9,7
3,0,1,49,2,0,37,0,396,3,2,13,2
10,0,2,39,3,0,14,0,72,2,0,7,1
50,1,1,22,1,1,1,1,72,4,3,1,2
60,1,2,49,1,0,0,0,72,4,0,2,7
80,1,2,22,2,1,2,1,36,4,3,7,7
50,1,2,87,1,0,0,1,72,4,3,5,7
45,1,2,77,1,1,0,1,72,2,2,5,7
55,1,2,61,2,1,8,0,72,4,2,9,5
60,1,2,27,3,1,0,1,72,1,3,9,2
20,1,1,79,2,1,0,0,72,2,3,5,7
5,0,2,35,3,1,2,1,12,1,3,17,1
50,1,2,30,4,0,1,0,72,3,1,17,7
90,1,1,50,5,1,0,0,132,1,2,9,7
80,1,2,24,5,0,14,1,72,4,3,2,4
25,1,2,45,4,0,1,1,12,4,2,17,2
70,1,2,59,2,1,0,1,36,3,2,7,5
30,1,2,66,2,1,0,1,72,2,1,5,1
4,0,1,61,1,0,20,0,96,2,3,4,1
40,1,1,23,3,0,5,0,72,3,2,17,7
15,1,2,71,3,1,0,1,72,1,2,6,1
35,1,2,53,2,0,4,0,168,1,3,9,7
15,1,2,71,2,1,0,1,72,3,3,17,7
8,0,1,29,1,1,28,0,60,3,3,15,2
10,0,1,26,2,0,0,1,72,2,3,9,7
50,1,1,40,2,0,1,0,72,3,2,2,1
35,1,2,34,3,0,5,1,72,2,2,17,1
25,1,1,74,2,1,0,1,72,2,3,9,2
50,1,2,62,1,1,0,1,72,4,2,7,7
50,1,1,48,1,1,0,0,48,3,2,10,2
1,0,1,40,2,0,12,0,72,3,3,16,7
7,0,1,62,2,0,5,0,36,2,3,15,7
5,0,1,41,5,1,2,1,84,4,3,17,1
80,1,2,57,2,1,0,1,72,3,3,11,1
35,1,2,27,3,1,2,0,72,4,3,17,7
3,0,1,34,2,0,2,0,60,4,3,14,4
50,1,2,46,5,1,3,0,60,2,3,12,2
30,1,2,29,2,0,30,0,60,4,1,6,7
20,1,2,36,2,0,5,0,168,2,2,15,2
10,0,1,37,2,0,4,0,144,1,3,15,1
30,1,1,36,3,1,6,0,120,2,2,11,2
60,1,2,44,1,0,0,1,72,3,0,5,2
20,1,1,53,2,0,10,1,6,3,1,16,7
20,1,1,65,3,1,0,0,72,3,2,10,7
25,1,1,77,1,1,0,1,72,2,1,4,2
60,1,2,65,2,0,0,1,72,2,0,7,2
47,1,1,66,1,0,0,1,72,4,2,1,1
10,0,1,53,1,0,14,1,72,3,1,9,7
40,1,1,48,1,0,0,1,72,4,0,4,7
40,1,2,23,4,1,10,1,12,4,2,9,2
15,1,2,56,2,1,2,0,84,3,3,9,2
45,1,1,62,2,1,1,1,432,1,1,9,2
10,0,2,72,1,0,3,1,72,3,3,3,7
4,0,2,24,2,0,5,1,18,3,3,12,7
20,1,1,42,3,0,5,0,300,3,2,14,2
40,1,2,71,1,1,14,1,72,3,2,6,1
60,1,1,76,1,0,0,0,72,4,0,9,1
20,1,1,38,7,0,4,1,96,3,2,9,2
3,0,1,42,1,1,2,0,108,4,2,14,4
20,1,2,29,2,0,3,0,60,3,3,13,1
2,0,1,38,5,0,10,1,120,1,1,14,2
15,1,1,65,4,0,0,1,108,4,3,9,2
20,1,2,62,1,0,0,1,72,3,2,9,7
50,1,2,48,3,1,0,1,72,2,3,9,1
50,1,1,65,2,1,8,0,432,1,3,17,1
20,1,2,66,1,0,0,1,72,3,1,9,7
40,1,2,21,4,1,0,0,72,4,2,14,7
90,1,2,34,3,0,5,1,72,2,2,2,6
5,0,2,32,4,1,6,1,72,3,3,17,7
15,1,1,80,2,1,10,1,72,2,2,11,5
10,0,1,35,1,0,1,0,24,3,3,10,7
40,1,1,79,2,1,0,1,72,2,2,4,1
60,1,2,51,3,1,5,1,72,1,0,6,1
70,1,1,19,3,0,15,1,12,4,3,15,2
80,1,2,24,2,0,7,0,3,2,3,9,7
20,1,1,23,3,0,20,1,24,3,0,7,6
50,1,2,48,3,1,10,1,18,1,2,11,7
8,0,1,38,2,0,0,0,72,1,3,17,7
15,1,2,60,1,0,4,1,72,1,3,7,1
90,1,2,20,2,0,1,0,72,2,1,2,6
35,1,2,57,1,1,7,0,228,4,2,2,2
30,1,1,63,2,1,0,0,72,3,2,8,2
40,1,2,66,2,0,2,1,72,1,2,12,1
20,1,2,28,2,0,6,0,72,2,2,17,2
15,1,1,24,2,0,4,0,24,4,2,14,7
50,1,2,38,7,0,0,1,42,4,2,13,7
30,1,1,50,1,1,6,0,108,4,3,10,3
10,0,1,56,3,0,15,0,48,2,3,17,7
30,1,2,59,2,1,1,1,72,1,3,13,1
50,1,1,58,1,0,0,1,72,4,1,2,7
50,1,1,47,1,0,0,0,72,4,3,1,7
30,1,1,87,1,0,0,0,72,2,3,6,1
20,1,1,62,3,1,10,0,24,3,2,10,7
40,1,2,32,4,0,30,0,72,3,2,4,7
10,0,1,68,2,0,3,1,72,1,3,15,7
50,1,1,61,1,1,0,0,84,1,1,5,7
30,1,2,28,2,0,7,0,132,1,2,9,7
50,1,1,65,7,0,0,0,48,2,2,16,1
10,0,1,80,1,1,0,0,72,3,3,9,7
50,1,1,70,2,1,0,1,72,2,2,6,2
60,1,2,37,4,0,3,0,120,3,2,11,2
50,1,2,43,1,1,21,1,72,4,0,2,1
3,0,1,57,1,0,20,0,72,1,1,7,1
90,1,2,65,1,0,0,1,72,3,2,3,1
35,1,2,30,3,1,6,1,36,2,3,10,7
18,1,2,40,2,0,2,0,60,1,2,8,7
5,0,2,73,1,1,0,1,72,1,2,3,5
20,1,1,59,2,1,0,1,72,3,2,9,2
6,0,2,27,2,0,7,0,3,4,2,14,7
25,1,1,47,2,1,6,0,120,2,3,16,1
33,1,1,69,1,0,14,0,72,2,3,4,7
4,0,1,45,4,0,0,0,240,1,2,17,2
10,0,1,68,2,0,0,0,72,2,3,6,5
6,0,2,38,2,0,3,0,6,4,2,17,2
50,1,1,39,3,1,0,0,72,3,3,3,7
50,1,2,43,4,0,1,1,72,4,3,16,1
15,1,1,65,2,1,0,1,72,3,0,6,2
35,1,2,44,4,1,2,1,48,1,3,17,1
20,1,1,44,1,0,10,0,192,3,2,13,7
5,0,1,34,3,1,0,0,72,2,1,12,7
20,1,1,38,4,0,4,1,12,3,2,17,7
20,1,1,53,1,1,0,1,96,3,2,9,7
10,0,2,61,2,1,2,1,84,3,2,14,1
20,1,1,42,4,1,2,1,72,3,3,17,1
5,0,1,55,1,1,10,0,72,2,0,7,2
5,0,1,44,2,0,6,0,60,4,2,17,4
20,1,2,45,3,1,5,0,48,1,3,13,1
30,1,2,77,1,0,0,1,72,4,0,5,2
1,0,2,51,2,0,2,0,18,2,2,17,7
10,0,1,34,3,0,5,0,108,2,3,11,7
20,1,2,43,4,0,0,0,168,2,3,13,2
80,1,2,27,3,1,0,1,72,2,2,2,7
60,1,2,78,1,0,0,1,72,3,2,9,1
20,1,1,64,2,1,1,1,12,4,3,16,1
5,0,1,53,4,0,5,1,192,3,3,17,2
15,1,2,32,3,0,7,0,22,4,3,17,2
8,0,2,69,1,1,8,1,72,1,2,9,1
4,0,2,36,5,0,5,1,72,3,3,17,7
40,1,2,56,6,0,0,1,72,3,1,1,7
30,1,1,18,5,1,15,1,4,3,2,17,2
10,0,1,63,2,1,0,0,72,3,1,5,2
6,0,1,49,4,1,1,1,60,1,2,17,1
40,1,2,42,7,1,0,1,72,3,2,9,7
35,1,1,88,2,1,0,1,72,2,3,6,7
5,0,1,58,1,0,2,1,96,2,3,17,1
10,0,1,32,2,0,10,0,108,1,3,13,1
20,1,1,59,2,1,0,0,72,2,2,10,7
30,1,2,73,1,0,0,1,72,2,2,9,2
50,1,2,25,2,1,5,0,72,2,2,1,2
5,0,1,35,4,0,5,0,48,4,3,13,7
5,0,2,30,3,1,14,1,48,4,3,5,2
17,1,2,64,2,1,3,1,72,4,3,15,4
30,1,1,32,1,0,1,0,72,2,2,2,6
40,1,1,63,2,1,0,0,72,2,2,4,6
10,0,1,60,3,1,0,0,156,3,2,9,2
10,0,2,48,2,1,10,0,48,1,3,17,7
55,1,2,61,2,0,0,1,72,4,2,2,7
50,1,1,68,2,0,0,1,72,3,3,4,1
30,1,1,53,2,1,12,0,72,2,1,13,3
50,1,2,43,3,0,0,0,72,4,0,2,2
5,0,1,49,5,0,0,1,72,2,2,9,1
6,0,2,30,1,0,3,0,84,4,2,8,7
3,0,1,55,3,1,1,1,216,3,1,13,1
25,1,1,59,1,0,2,0,60,2,3,8,2
20,1,2,23,3,0,10,1,72,4,2,8,2
5,0,1,54,2,1,1,0,456,2,2,12,2
50,1,2,78,1,0,0,0,72,4,2,4,2
3,0,2,45,4,0,5,1,24,1,2,17,7
65,1,2,44,2,0,20,1,72,1,2,2,1
30,1,2,61,2,0,0,1,72,2,1,7,2
20,1,2,34,2,0,3,0,108,2,3,15,7
4,0,1,55,3,1,2,0,360,1,2,16,1
30,1,2,41,2,0,3,1,228,3,3,17,1
20,1,1,57,2,0,5,0,288,1,3,11,4
5,0,2,54,4,0,5,1,72,4,1,5,2
6,0,1,30,3,0,4,0,72,2,3,17,1
2,0,1,58,2,0,5,0,72,1,2,4,5
20,1,2,51,2,1,8,1,17,4,2,9,1
22,1,1,61,2,0,15,0,168,2,1,9,7
15,1,1,46,2,0,0,0,72,1,1,9,7
15,1,1,84,1,0,2,0,72,3,2,11,7
30,1,2,24,2,0,1,1,4,3,2,16,7
10,0,1,51,2,1,20,0,132,2,2,11,2
10,0,2,38,4,0,20,0,18,2,0,12,7
10,0,1,86,2,1,0,1,72,4,2,6,1
5,0,2,37,5,0,7,0,72,3,1,9,2
50,1,2,65,3,1,14,0,72,4,3,8,7
30,1,1,45,1,0,0,1,12,3,2,5,6
50,1,2,69,1,0,0,0,72,3,3,4,7
60,1,2,24,2,0,2,0,72,4,2,3,7
20,1,1,61,1,0,6,1,72,2,2,7,5
6,0,1,22,3,1,4,0,72,1,1,8,1
5,0,1,43,2,0,7,0,36,3,3,17,7
40,1,1,27,1,0,4,1,36,4,3,11,2
40,1,2,18,2,0,10,0,72,2,1,17,7
50,1,2,22,3,1,2,0,72,3,1,4,7
40,1,2,75,1,1,5,1,72,4,1,3,1
20,1,1,27,1,1,5,1,12,1,2,11,1
30,1,2,58,2,0,25,0,72,2,3,7,7
15,1,1,60,1,0,3,0,180,4,3,12,7
10,0,2,46,5,0,4,1,36,2,2,17,1
45,1,2,65,1,0,2,0,72,1,1,4,1
50,1,1,29,5,0,0,1,48,3,3,8,7
30,1,2,76,1,0,0,1,72,3,3,3,2
10,0,2,37,4,0,14,0,72,4,2,11,7
7,0,1,45,4,0,2,0,36,2,3,17,2
35,1,1,64,2,1,0,1,72,3,2,5,2
15,1,1,47,4,0,4,1,120,3,3,15,7
50,1,2,28,5,0,10,0,72,3,1,5,2
40,1,1,55,2,0,0,0,300,4,3,9,2
25,1,2,25,4,0,10,0,11,2,2,14,1
35,1,2,36,4,0,15,0,72,1,3,17,1
100,1,2,71,1,1,0,1,72,3,0,2,2
10,0,1,58,1,0,6,1,36,2,3,9,7
