IMMBRIT,over.estimate,RSex,RAge,Househld,paper,WWWhourspW,religious,employMonths,urban,health.good,HHInc,party_self
3,0,1,64,2,1,1,0,72,3,3,13,7
7,0,2,32,4,0,4,0,96,2,3,17,2
3,0,1,83,2,1,2,0,72,1,3,17,1
10,0,2,49,1,0,3,1,72,1,0,2,2
10,0,2,43,4,0,3,0,72,2,2,14,7
30,1,2,41,2,1,1,0,60,2,3,8,4
5,0,1,55,4,0,2,1,228,1,2,13,7
25,1,2,64,2,1,6,1,72,2,3,14,1
20,1,1,35,3,0,30,0,72,3,2,12,7
20,1,1,42,1,1,0,0,12,2,2,6,2
8,0,1,58,2,1,3,0,228,2,2,17,1
10,0,1,62,2,1,7,1,72,2,2,9,5
35,1,2,26,2,1,2,1,48,4,3,17,7
20,1,1,42,1,1,10,0,144,4,2,9,5
30,1,1,47,1,1,1,1,72,3,0,5,2
50,1,2,80,1,0,0,1,72,3,2,4,1
15,1,1,79,2,1,1,1,72,2,2,16,1
90,1,1,39,5,0,7,1,72,4,3,6,2
40,1,2,46,1,0,0,0,72,4,1,1,7
15,1,1,58,1,0,0,0,12,3,2,6,7
30,1,1,31,1,0,5,0,36,3,2,11,7
60,1,1,23,6,1,20,1,15,4,1,9,7
20,1,2,55,3,1,3,1,72,2,2,11,1
50,1,1,20,4,0,2,0,12,2,3,6,7
35,1,2,22,3,0,15,1,72,4,2,2,2
50,1,2,52,2,1,1,0,72,2,0,6,7
10,0,2,53,3,1,1,1,72,4,3,12,2
40,1,2,65,3,1,1,0,72,1,2,11,7
10,0,2,36,4,0,2,1,72,2,2,5,7
25,1,1,28,2,1,14,1,60,4,2,15,7
11,1,1,42,1,1,3,1,252,1,3,17,1
30,1,1,41,2,1,6,0,72,3,1,2,6
50,1,1,70,2,1,0,1,72,1,1,6,2
20,1,1,39,1,1,0,0,180,4,3,9,1
5,0,2,38,4,0,2,1,72,1,1,9,7
20,1,1,32,3,1,4,0,108,2,1,17,7
30,1,2,28,4,0,20,1,72,2,3,9,2
15,1,1,69,2,1,2,0,72,1,2,9,2
40,1,2,57,5,1,10,1,72,3,1,9,7
50,1,1,19,2,0,5,1,72,1,2,1,2
25,1,1,76,2,1,0,1,72,3,2,4,2
25,1,2,33,1,0,15,0,120,4,2,15,1
40,1,1,39,1,1,5,1,36,2,3,10,5
25,1,1,42,5,0,10,1,252,1,3,15,2
25,1,1,75,2,1,0,0,72,4,2,6,1
20,1,2,27,2,0,5,1,20,2,2,17,1
5,0,1,76,1,0,0,1,72,2,3,4,2
1,0,2,33,2,0,3,0,48,2,2,16,7
30,1,2,74,1,0,0,1,72,4,1,10,2
30,1,2,71,2,1,5,1,72,1,3,9,5
5,0,2,67,1,1,0,1,72,2,3,7,7
10,0,1,54,2,1,2,0,300,2,2,14,2
15,1,1,49,2,1,3,0,168,3,0,16,5
80,1,2,31,4,0,6,0,84,2,3,11,7
50,1,2,57,6,1,7,0,84,3,2,7,7
25,1,2,50,4,0,2,0,120,4,2,14,2
25,1,1,64,2,1,2,0,72,4,1,10,1
70,1,1,33,5,0,7,0,18,3,2,9,2
50,1,2,67,2,1,0,1,72,2,2,5,1
50,1,1,49,3,0,14,1,84,1,2,16,1
5,0,1,58,2,1,7,1,72,4,3,17,2
5,0,2,63,1,0,20,0,72,1,3,9,4
20,1,1,68,1,1,0,0,60,3,2,9,7
60,1,2,55,1,1,2,1,120,1,0,5,1
30,1,2,43,3,1,0,0,72,2,1,6,2
10,0,2,55,2,1,3,0,17,2,3,1,2
14,1,1,53,1,0,20,0,24,4,2,15,2
40,1,2,49,4,0,1,0,24,3,3,8,1
1,0,2,42,1,0,2,0,48,3,3,15,7
15,1,2,62,1,1,2,1,72,4,2,3,1
10,0,1,56,2,1,1,1,16,2,2,10,1
50,1,2,57,3,1,2,1,300,3,3,13,7
80,1,2,74,2,1,0,0,72,1,2,6,7
45,1,2,26,2,1,20,0,24,3,1,9,7
22,1,1,30,2,0,7,0,48,4,3,14,7
90,1,2,29,3,0,10,0,72,3,2,2,6
27,1,2,30,4,0,15,0,8,3,2,17,2
5,0,2,56,2,1,5,1,180,2,2,17,7
30,1,2,20,4,0,7,1,72,4,1,9,7
30,1,2,84,1,0,0,0,72,3,2,2,2
20,1,1,21,4,1,10,0,60,1,2,9,1
40,1,2,58,5,1,0,0,72,2,3,4,7
1,0,1,51,1,0,0,1,72,4,2,1,2
16,1,2,64,2,0,5,0,72,3,2,8,2
50,1,2,76,1,1,0,1,72,2,0,4,2
80,1,2,39,6,1,14,1,72,3,2,17,1
10,0,1,32,2,1,5,1,168,1,2,17,1
40,1,1,40,1,1,3,1,48,4,2,9,7
50,1,1,80,1,1,0,1,72,1,3,5,1
40,1,2,58,2,0,0,1,444,1,2,13,1
10,0,1,62,2,0,20,1,72,2,2,10,7
4,0,1,62,1,1,0,0,72,2,3,3,5
85,1,2,55,2,1,15,0,36,2,3,16,7
10,0,1,55,1,1,0,1,72,4,1,5,2
60,1,1,84,1,0,0,1,72,2,1,9,2
15,1,1,49,3,1,3,0,396,3,3,13,2
5,0,1,35,2,0,0,1,1,2,2,10,2
5,0,1,36,1,0,2,1,72,3,0,3,2
80,1,2,29,2,0,42,0,72,1,3,2,7
40,1,1,30,2,1,2,0,36,4,2,8,2
25,1,2,27,2,1,15,1,24,4,2,6,2
50,1,2,23,4,0,20,0,72,4,2,6,7
10,0,2,24,5,0,35,0,72,3,3,6,1
15,1,2,64,2,1,5,1,72,2,3,17,1
30,1,1,76,1,0,14,0,72,3,1,9,1
25,1,2,88,1,0,0,1,72,2,1,9,7
25,1,2,67,3,1,0,1,72,4,2,5,2
50,1,1,75,2,1,7,1,72,2,2,9,7
20,1,1,69,1,1,0,1,72,2,0,9,2
30,1,2,50,4,1,2,0,108,1,2,17,7
40,1,2,43,4,0,4,1,72,1,3,9,7
10,0,1,72,2,1,0,0,72,1,1,7,2
55,1,1,29,3,0,0,0,72,4,0,4,6
1,0,1,39,1,0,20,1,72,2,2,6,6
20,1,2,59,5,0,0,1,72,4,0,9,2
60,1,2,43,2,0,6,0,24,4,3,7,7
45,1,2,47,3,1,6,1,72,2,0,5,1
40,1,1,70,1,1,0,1,72,4,1,4,2
25,1,2,20,3,0,5,1,36,3,3,9,7
5,0,1,66,3,1,0,0,72,1,2,9,2
3,0,2,42,2,1,2,0,18,3,3,17,2
10,0,1,23,2,0,0,0,12,2,0,8,7
30,1,1,27,3,1,7,1,48,4,2,14,1
25,1,2,57,2,0,10,1,72,3,3,9,2
25,1,1,62,1,1,0,1,72,4,1,4,1
14,1,2,80,2,0,0,1,72,3,2,3,2
8,0,1,57,2,0,20,0,84,3,2,8,2
40,1,1,57,1,0,0,1,6,2,2,6,1
2,0,1,29,2,0,15,0,72,4,0,8,7
10,0,1,60,1,0,7,1,72,2,2,6,2
30,1,1,45,4,1,10,1,168,4,3,11,2
30,1,1,28,2,1,21,0,24,3,2,16,7
5,0,2,62,2,0,0,0,72,1,1,7,5
40,1,2,62,2,0,2,1,72,1,2,9,1
30,1,1,29,2,0,15,0,96,1,2,13,2
40,1,1,18,3,0,30,1,72,2,3,6,7
10,0,2,46,2,0,7,0,120,4,1,4,2
50,1,1,57,1,0,0,0,72,3,0,9,7
5,0,1,25,2,1,4,1,60,2,3,17,7
15,1,1,55,4,1,7,1,48,2,2,17,1
40,1,2,70,2,1,5,0,72,3,3,5,4
30,1,1,18,2,1,4,0,12,3,3,9,3
40,1,2,32,1,0,3,1,36,4,3,7,7
50,1,2,51,2,0,1,0,132,1,2,17,1
10,0,1,45,5,0,2,1,72,3,3,15,1
45,1,2,76,2,1,0,1,72,2,2,7,1
40,1,2,36,4,0,5,0,36,1,2,10,2
80,1,2,28,3,0,28,0,7,4,2,6,7
10,0,1,60,2,0,7,0,72,4,1,13,7
20,1,2,36,4,0,1,1,216,1,2,9,7
30,1,1,52,1,1,0,1,72,3,0,3,2
40,1,2,33,3,0,5,1,60,2,2,9,3
10,0,2,61,2,0,8,1,240,2,3,12,1
10,0,1,76,2,1,1,0,72,4,2,7,2
30,1,1,48,4,0,2,1,108,2,3,17,7
30,1,1,52,2,0,50,0,72,3,3,16,1
12,1,1,43,4,1,2,0,84,1,2,14,2
25,1,1,26,5,1,0,0,120,3,2,11,2
10,0,1,61,2,1,0,0,72,1,2,8,1
55,1,2,51,1,1,2,1,156,3,3,13,1
5,0,2,30,2,0,3,0,18,3,2,15,7
20,1,2,48,3,0,4,0,48,3,2,9,7
50,1,2,28,4,0,0,1,72,4,3,8,7
8,0,1,53,4,0,7,1,60,4,2,12,1
50,1,2,24,2,0,10,0,48,2,1,9,6
5,0,1,19,2,1,35,0,72,4,3,9,7
20,1,2,39,3,0,5,1,96,3,2,11,2
1,0,2,63,3,1,4,1,24,2,2,14,1
5,0,2,77,1,1,0,0,72,1,2,4,1
50,1,2,22,3,0,0,0,48,2,3,9,2
25,1,1,73,2,1,0,0,72,3,0,4,1
10,0,1,55,2,1,12,1,360,2,2,12,1
15,1,2,71,1,1,0,1,72,3,2,9,2
6,0,2,40,4,1,35,0,72,3,1,12,7
30,1,2,54,2,1,3,1,420,3,3,13,1
40,1,1,31,4,0,7,1,6,4,3,13,2
3,0,1,37,4,0,5,0,144,1,3,17,7
8,0,1,67,2,0,3,0,72,4,2,8,7
30,1,1,59,2,1,1,1,420,2,2,7,7
10,0,2,33,3,0,5,1,12,2,1,6,2
50,1,2,55,1,0,10,0,72,3,2,13,7
20,1,2,78,1,0,0,1,72,1,0,9,7
30,1,2,23,4,0,14,0,36,1,3,6,1
15,1,1,39,1,0,20,0,48,1,3,17,1
20,1,2,21,3,1,6,0,72,4,0,2,5
80,1,2,34,1,1,10,0,12,3,2,14,1
85,1,1,64,2,1,0,0,72,1,3,4,1
30,1,1,46,1,0,0,1,72,4,0,2,7
70,1,1,39,3,1,10,0,19,2,2,8,6
5,0,1,75,2,1,0,1,72,3,2,9,7
20,1,2,51,3,0,8,1,120,3,2,17,7
60,1,1,53,5,0,8,0,72,3,3,17,1
12,1,1,45,1,1,2,1,300,4,1,9,5
10,0,1,51,2,0,8,0,48,1,3,15,7
30,1,1,61,1,0,0,1,72,4,0,3,2
5,0,1,42,2,1,15,0,72,3,0,13,1
80,1,2,60,2,1,0,1,36,2,2,6,2
5,0,1,45,3,1,10,1,216,2,2,9,2
40,1,2,55,2,0,25,0,132,2,3,17,7
20,1,2,70,3,1,0,1,72,1,3,11,1
2,0,2,47,5,0,2,0,120,4,3,17,2
12,1,2,86,1,0,0,1,72,2,3,5,2
30,1,1,69,2,1,5,0,72,3,2,10,1
40,1,2,56,2,1,5,1,36,4,2,17,1
20,1,2,43,4,0,2,1,72,3,1,11,4
6,0,1,37,3,0,4,0,24,1,1,12,2
20,1,2,52,1,0,5,1,24,3,0,10,2
50,1,2,35,4,0,2,1,156,2,2,13,2
25,1,1,52,3,1,10,0,72,2,0,7,7
15,1,1,47,5,1,84,1,228,4,2,9,2
50,1,1,75,2,0,0,0,72,4,0,6,5
8,0,2,39,4,0,1,0,12,3,3,12,2
20,1,2,70,1,0,3,1,72,1,3,6,1
60,1,2,26,4,0,30,0,72,2,0,9,7
10,0,2,86,1,1,0,1,72,3,1,3,2
80,1,2,40,3,0,10,1,240,2,3,10,4
10,0,1,24,7,1,28,0,72,2,0,4,2
25,1,2,71,1,0,20,0,72,2,1,8,5
25,1,1,40,6,1,7,0,36,2,1,17,1
20,1,2,75,2,1,20,1,72,3,3,9,1
35,1,2,56,1,0,0,0,72,2,0,3,6
45,1,2,18,4,0,15,1,72,3,2,9,7
80,1,2,72,2,1,0,1,72,4,2,5,2
20,1,2,77,1,0,0,1,72,3,2,4,7
50,1,2,32,2,0,0,0,72,2,2,3,2
100,1,2,64,1,0,15,1,72,4,2,3,2
10,0,2,39,2,0,15,0,36,2,1,13,2
3,0,1,44,3,1,3,1,336,2,2,12,2
50,1,1,17,5,1,1,0,14,2,2,9,7
20,1,2,32,1,0,5,0,48,1,3,13,1
10,0,2,28,1,1,25,1,12,4,1,10,2
50,1,2,53,3,0,0,1,72,4,2,2,2
4,0,2,43,2,1,3,0,192,1,3,14,2
30,1,2,64,2,0,2,1,72,4,3,9,7
20,1,1,44,1,1,5,1,72,4,1,3,2
8,0,1,47,2,0,10,0,72,1,3,17,1
10,0,1,76,1,1,0,1,72,4,2,4,2
35,1,2,83,1,1,0,1,72,4,2,6,1
20,1,1,33,1,0,15,1,12,3,3,9,2
65,1,1,33,1,0,5,0,72,1,2,7,6
10,0,2,77,2,1,0,1,72,1,3,17,1
15,1,2,99,2,0,5,1,72,1,2,9,7
6,0,1,47,2,0,1,0,72,3,0,9,4
35,1,1,29,4,0,4,0,120,2,3,11,6
25,1,2,70,1,1,0,1,72,3,2,6,2
25,1,1,56,1,1,0,1,12,1,2,9,7
2,0,2,40,3,0,1,1,60,3,2,5,2
20,1,1,39,2,1,15,0,48,3,3,16,7
40,1,2,53,1,0,1,0,48,3,3,7,1
40,1,1,55,1,1,18,0,36,2,2,6,1
50,1,2,67,2,1,5,1,72,4,3,6,7
35,1,2,36,1,1,10,1,24,4,3,11,7
10,0,1,43,1,1,2,1,72,3,2,3,2
9,0,2,45,2,1,10,0,7,4,2,16,7
1,0,2,98,2,1,1,1,72,3,2,6,1
33,1,2,81,1,0,0,0,72,2,2,4,7
60,1,2,18,3,1,10,0,7,1,1,9,7
35,1,2,29,2,1,3,0,72,3,2,5,3
20,1,2,55,2,0,10,0,192,3,1,9,1
20,1,2,44,2,0,1,1,108,1,2,9,1
1,0,2,65,2,0,3,0,72,1,1,8,2
8,0,2,27,2,0,5,0,12,4,1,7,4
35,1,1,24,2,1,8,0,108,3,3,17,1
1,0,1,47,2,0,10,0,60,4,3,13,1
20,1,1,66,2,1,0,0,144,3,3,17,7
50,1,2,60,2,0,0,0,204,2,3,9,7
4,0,1,57,2,0,3,0,204,2,2,14,2
50,1,1,56,1,0,0,0,72,4,0,7,2
8,0,2,58,2,1,2,0,12,4,2,9,7
25,1,2,50,2,0,2,0,72,4,3,10,7
30,1,2,58,1,1,1,0,72,1,3,7,2
18,1,1,62,3,1,15,1,72,3,2,13,1
30,1,1,32,4,0,3,0,180,1,1,9,7
30,1,2,78,1,1,0,1,72,3,2,4,7
10,0,2,56,2,0,2,1,72,1,2,9,7
15,1,1,61,1,1,0,0,72,2,1,2,7
20,1,1,62,1,0,0,1,72,3,1,4,1
40,1,2,44,3,1,20,0,180,3,1,12,7
50,1,2,30,4,0,5,0,72,2,1,16,1
50,1,2,49,1,0,0,0,72,2,0,1,7
20,1,2,38,3,0,15,0,24,1,1,13,7
25,1,1,34,2,1,2,0,180,3,3,13,2
30,1,2,74,1,0,0,1,72,3,3,4,7
15,1,2,66,1,1,0,1,156,3,3,6,1
5,0,1,70,2,1,4,1,72,2,3,17,1
15,1,2,36,3,1,0,0,120,1,3,15,7
20,1,2,34,4,0,8,0,72,3,1,14,3
6,0,2,47,5,0,10,1,336,3,3,16,7
5,0,1,38,4,0,0,1,48,3,3,4,1
70,1,2,37,2,0,0,0,72,3,3,3,2
15,1,2,67,2,0,0,0,72,1,2,9,7
25,1,2,47,1,0,0,0,72,4,0,2,2
20,1,1,35,1,0,45,0,132,3,2,16,1
5,0,2,20,4,0,28,0,72,3,1,17,7
60,1,2,19,4,1,12,1,72,4,2,9,7
10,0,2,21,1,0,7,0,6,4,2,6,1
40,1,2,56,4,0,5,0,180,1,2,9,2
40,1,2,35,3,1,2,1,2,3,3,2,2
5,0,2,30,2,1,2,0,3,4,2,17,1
40,1,1,19,4,1,5,1,72,3,2,9,7
6,0,2,38,4,0,7,0,84,2,3,17,2
20,1,2,65,1,0,0,0,72,4,2,8,7
4,0,1,51,2,1,3,0,132,4,3,17,1
50,1,2,56,1,1,0,0,72,3,0,3,3
15,1,2,26,1,0,0,0,72,4,3,9,7
30,1,1,20,3,0,16,1,72,4,2,9,7
5,0,1,47,4,1,1,1,288,3,3,15,2
15,1,2,59,2,1,1,1,300,2,1,17,2
30,1,1,74,2,0,1,1,72,4,1,7,2
20,1,2,48,2,0,6,0,192,2,3,10,1
70,1,2,41,5,0,0,1,72,1,3,5,4
99,1,1,54,1,1,0,0,72,3,3,2,1
30,1,2,62,2,1,0,1,108,1,2,11,1
10,0,1,33,1,0,0,0,60,3,1,15,6
20,1,1,75,2,1,0,1,72,2,2,6,1
40,1,2,66,2,1,2,1,72,3,3,9,2
9,0,2,47,2,0,0,0,36,1,1,14,2
40,1,1,32,2,1,0,0,60,1,2,9,7
3,0,1,28,2,0,21,0,24,2,1,9,7
10,0,2,22,2,0,1,0,24,3,3,6,7
50,1,2,69,3,1,1,1,96,2,2,8,1
5,0,2,46,5,1,2,1,72,1,2,16,1
40,1,2,22,3,1,5,1,72,2,3,2,2
20,1,2,69,1,0,0,1,72,4,0,3,2
10,0,2,29,3,1,2,0,72,2,3,3,7
25,1,2,49,5,0,0,0,72,3,1,9,7
60,1,1,25,1,1,10,0,72,2,1,3,1
20,1,2,50,1,0,2,0,180,2,3,11,2
30,1,2,73,2,1,0,1,72,3,3,9,2
22,1,1,68,2,1,0,1,72,2,2,4,2
5,0,1,47,4,1,5,1,72,1,2,17,7
65,1,2,38,2,0,0,0,36,3,2,14,7
50,1,1,61,2,0,0,0,108,1,3,12,2
15,1,1,37,4,0,12,0,9,3,3,17,1
10,0,2,34,5,0,35,1,72,4,3,11,2
20,1,1,40,1,1,1,1,24,2,2,9,7
6,0,1,66,2,0,2,0,96,3,3,12,1
15,1,1,54,1,0,5,1,72,1,2,9,7
20,1,2,74,1,1,0,1,72,3,3,4,2
40,1,2,20,5,0,1,1,60,4,2,9,7
30,1,2,18,1,1,0,0,72,2,2,5,1
35,1,2,63,2,0,0,0,72,1,2,10,1
30,1,1,65,1,1,15,0,72,2,3,5,7
8,0,1,43,4,1,1,0,72,4,1,17,1
75,1,1,51,2,0,0,0,240,1,3,7,7
20,1,2,61,2,1,1,1,72,2,3,13,1
3,0,2,37,5,1,4,1,72,3,1,4,2
15,1,2,80,1,0,0,1,72,3,2,9,7
45,1,2,62,2,1,1,1,72,3,3,10,1
50,1,2,41,3,0,10,1,36,2,2,7,7
10,0,2,62,2,1,10,1,72,2,2,5,1
