IMMBRIT,over.estimate,RSex,RAge,Househld,paper,WWWhourspW,religious,employMonths,urban,health.good,HHInc,party_self
60,1,2,49,1,0,0,1,72,3,0,2,7
40,1,1,41,2,1,0,1,300,1,3,13,1
50,1,2,63,1,0,0,1,72,1,3,6,7
10,0,2,78,2,1,0,0,72,3,2,6,2
33,1,2,67,1,0,2,1,72,3,1,5,2
80,1,1,35,1,0,1,0,72,2,3,1,1
35,1,2,80,1,1,0,1,72,4,1,3,1
60,1,2,41,3,0,4,1,21,4,3,17,1
30,1,2,83,1,1,0,0,72,1,3,3,2
10,0,2,43,4,0,0,0,72,2,2,10,2
25,1,1,36,3,0,5,1,18,3,2,17,1
50,1,2,44,4,0,10,0,72,3,2,5,7
5,0,1,41,7,0,2,1,72,4,3,6,2
40,1,2,37,5,0,0,1,60,4,2,14,7
12,1,2,26,4,0,2,0,24,1,2,9,2
11,1,1,35,1,0,10,1,6,3,2,15,2
10,0,2,93,1,0,0,1,72,3,1,9,2
10,0,1,61,2,1,0,1,60,1,3,13,1
30,1,1,49,1,0,2,0,36,1,1,9,7
60,1,2,46,2,1,5,1,240,4,1,5,7
50,1,1,56,2,1,4,1,72,1,3,17,1
30,1,1,36,1,0,3,0,180,1,3,17,7
50,1,1,36,1,0,8,0,72,2,2,1,6
20,1,2,23,2,1,0,0,72,3,1,3,7
35,1,1,66,2,1,2,0,72,2,3,9,2
30,1,2,30,5,1,14,0,72,3,2,8,7
10,0,1,68,3,1,2,0,72,1,3,13,1
50,1,2,19,2,0,1,0,72,3,3,2,7
5,0,1,39,4,0,8,0,132,2,2,14,1
50,1,2,80,1,1,0,1,72,2,2,2,2
40,1,1,39,1,0,1,0,192,4,2,9,1
10,0,2,57,2,1,3,0,204,1,3,13,2
60,1,2,35,4,0,10,0,72,2,1,13,1
5,0,2,39,4,1,5,0,12,2,3,13,4
50,1,2,18,4,0,1,0,24,3,2,9,7
5,0,2,71,2,1,2,1,72,2,2,8,1
40,1,2,60,2,0,0,1,120,4,2,6,5
50,1,2,43,2,0,3,1,72,1,3,17,1
45,1,1,51,2,0,0,0,72,2,1,3,1
20,1,2,75,2,1,4,1,72,3,2,10,1
50,1,1,52,4,1,0,0,72,2,1,1,7
18,1,2,40,3,1,2,0,72,4,3,17,4
35,1,2,34,1,1,2,0,72,4,3,7,2
14,1,1,64,2,1,10,0,72,4,2,16,7
30,1,2,85,2,1,0,1,72,2,3,8,1
3,0,1,39,1,0,10,1,12,4,2,7,2
35,1,2,74,2,1,0,1,72,3,3,5,3
20,1,2,37,4,1,4,1,72,3,2,9,2
85,1,2,45,1,0,8,0,72,1,0,2,7
20,1,2,40,3,0,1,0,48,1,3,14,2
20,1,1,64,2,0,12,0,72,3,3,11,1
50,1,1,27,1,1,1,0,14,1,2,15,2
40,1,2,47,1,0,0,0,72,1,2,11,7
20,1,1,55,1,1,2,0,96,1,3,14,1
10,0,1,27,1,0,30,0,18,2,2,10,1
40,1,2,45,4,1,1,0,72,2,1,12,5
25,1,1,70,2,0,0,1,72,3,2,7,1
35,1,2,36,1,1,10,0,84,2,3,6,7
30,1,2,47,3,1,4,0,96,4,1,10,7
6,0,1,41,6,1,5,0,72,2,1,11,1
15,1,1,29,1,0,0,0,72,3,1,3,6
75,1,1,80,2,1,0,1,84,2,2,9,1
20,1,1,47,1,1,4,1,60,4,1,12,7
60,1,2,67,1,0,3,1,72,4,2,6,7
2,0,1,59,2,1,5,0,72,3,3,10,1
10,0,1,70,2,0,1,1,288,3,3,5,1
10,0,1,75,1,0,0,1,72,3,2,7,7
50,1,1,70,2,1,0,1,72,4,2,5,1
30,1,1,54,5,1,15,0,72,1,2,6,7
30,1,2,50,2,1,12,0,132,1,2,14,7
20,1,2,44,3,0,0,0,132,4,3,9,2
30,1,2,43,4,1,7,0,72,4,2,9,2
30,1,2,21,2,0,2,0,36,3,2,12,7
30,1,2,23,2,0,2,0,72,3,3,12,1
30,1,1,62,3,1,2,0,72,3,3,9,1
98,1,1,25,6,1,3,0,72,2,3,4,1
30,1,2,50,1,0,2,1,60,3,3,14,7
40,1,2,27,2,0,14,1,60,3,2,13,1
10,0,2,33,1,1,10,0,108,4,2,16,1
60,1,2,55,1,1,10,1,72,3,2,9,1
10,0,2,47,2,0,3,1,72,2,0,9,7
30,1,2,39,6,0,1,0,72,1,2,16,1
50,1,1,31,5,0,0,0,72,3,1,2,2
50,1,2,38,3,0,4,0,24,4,3,9,7
80,1,2,59,2,0,0,1,72,2,3,5,7
5,0,1,52,2,1,15,1,348,3,1,17,2
5,0,1,45,4,0,20,0,72,3,3,17,7
40,1,1,80,1,0,0,0,72,4,0,9,2
5,0,2,28,3,0,3,0,72,1,3,17,1
5,0,2,66,2,1,1,1,72,2,3,9,2
85,1,2,29,6,1,8,0,72,1,2,11,1
4,0,2,28,1,0,2,1,72,2,2,13,2
60,1,2,69,1,0,0,1,72,3,1,3,2
30,1,1,90,1,1,0,0,72,3,2,7,2
6,0,2,28,2,1,7,1,18,4,2,9,7
95,1,1,24,4,1,2,0,8,3,2,7,7
8,0,1,31,2,1,12,0,5,2,1,9,7
33,1,1,73,1,1,1,1,72,1,2,9,6
33,1,2,48,5,0,15,1,72,2,1,6,7
30,1,2,49,1,1,0,0,72,4,0,12,1
20,1,1,35,1,1,5,0,72,1,1,9,7
50,1,1,27,1,1,24,1,72,4,0,1,6
0,0,1,60,1,1,5,1,72,2,2,10,1
30,1,2,56,1,1,2,0,48,3,1,9,7
50,1,2,36,2,1,4,1,120,3,3,14,2
20,1,1,41,4,0,1,0,132,1,2,17,7
75,1,1,28,3,1,10,0,12,1,3,17,1
30,1,1,49,5,1,30,1,252,2,2,16,3
20,1,2,61,2,0,14,1,72,2,1,9,7
60,1,1,77,2,1,0,1,72,3,1,6,1
17,1,2,74,1,0,5,0,72,4,3,4,7
40,1,2,52,3,0,5,0,72,1,3,9,7
42,1,1,50,3,1,5,1,48,4,2,16,2
70,1,2,42,4,1,10,1,72,1,3,9,2
30,1,1,40,3,0,18,0,12,4,2,17,1
40,1,1,75,2,0,0,1,72,3,2,9,1
15,1,2,30,2,0,7,0,42,4,3,17,2
50,1,1,44,4,0,40,0,192,3,3,13,5
35,1,1,49,4,1,6,0,120,2,2,17,7
15,1,2,63,1,0,8,0,72,3,2,7,2
33,1,1,59,2,0,0,0,72,3,0,7,7
25,1,2,79,1,0,0,0,72,4,0,3,1
2,0,2,78,1,1,0,1,72,2,2,9,7
20,1,1,60,2,1,0,0,144,4,3,14,7
20,1,1,39,6,0,2,1,168,1,3,10,6
30,1,2,49,2,0,6,1,72,1,2,11,7
80,1,1,21,3,0,10,1,72,4,1,1,6
8,0,2,65,1,1,2,0,72,3,3,11,2
10,0,2,74,1,1,0,1,72,2,2,9,1
30,1,2,65,2,0,3,1,72,2,2,8,1
40,1,2,27,2,0,14,1,96,3,3,17,1
20,1,1,52,1,0,15,1,72,2,0,3,7
25,1,1,22,3,1,3,0,72,1,3,4,3
85,1,2,51,5,0,0,1,72,3,0,7,2
50,1,2,61,1,0,0,0,48,4,2,9,7
60,1,2,18,1,0,3,0,72,2,3,2,7
40,1,2,24,2,0,5,0,72,2,3,2,7
50,1,2,92,1,0,0,1,72,4,3,5,1
20,1,2,50,2,0,5,0,36,1,2,15,7
50,1,2,60,1,0,7,1,24,2,3,4,7
20,1,1,49,2,1,0,1,108,1,1,9,1
50,1,2,65,1,0,0,0,72,2,2,3,2
50,1,2,22,6,1,10,1,72,4,3,17,7
6,0,2,33,3,0,3,1,84,4,3,15,2
40,1,1,84,1,0,0,1,72,4,3,5,2
4,0,2,25,2,0,5,0,10,3,2,15,1
40,1,2,75,2,0,0,1,72,2,3,3,2
5,0,2,38,2,0,2,1,60,3,2,11,6
50,1,2,43,4,0,2,0,72,2,3,17,7
50,1,2,29,2,0,14,0,144,4,3,13,7
20,1,1,62,2,0,3,1,72,2,3,9,1
70,1,1,60,2,1,5,1,336,1,3,15,7
80,1,2,59,5,1,0,0,72,4,1,13,6
10,0,1,50,3,0,4,0,300,3,3,16,2
5,0,1,33,1,0,28,0,72,4,2,1,7
30,1,2,44,4,1,2,1,240,2,2,16,5
15,1,2,59,2,1,1,1,240,3,3,16,2
50,1,1,25,7,0,3,0,8,1,2,7,1
15,1,2,84,1,1,0,1,72,2,2,2,1
40,1,2,48,1,0,2,1,72,4,0,4,2
20,1,2,46,3,0,2,1,84,2,2,17,7
25,1,1,68,2,1,0,1,72,2,2,8,2
10,0,1,33,6,0,3,0,108,2,2,11,7
20,1,1,54,2,1,0,0,72,3,2,10,2
50,1,1,76,2,1,0,1,72,2,2,7,7
50,1,2,64,1,0,0,1,72,3,1,7,7
8,0,1,22,1,1,20,0,4,3,3,6,1
30,1,1,50,1,1,0,0,72,4,0,2,7
35,1,2,71,2,0,7,0,60,4,1,9,1
30,1,2,80,2,0,1,1,72,1,3,9,1
35,1,2,21,4,0,10,0,1,3,2,11,7
10,0,1,79,2,1,0,1,72,1,1,9,1
33,1,2,62,3,0,2,0,96,4,1,17,4
60,1,1,78,3,1,0,1,72,4,2,6,2
40,1,1,51,1,1,4,0,144,4,1,9,7
20,1,2,43,4,1,7,1,18,2,3,17,2
40,1,1,59,1,1,0,1,72,4,3,9,2
40,1,2,53,2,0,0,0,60,3,2,14,2
35,1,1,74,2,1,0,0,72,1,2,9,3
50,1,2,71,1,0,0,0,72,2,2,2,2
1,0,1,50,3,0,2,1,84,4,1,17,1
10,0,2,58,2,1,4,0,300,2,3,9,5
25,1,1,75,1,1,0,1,72,3,1,4,2
40,1,1,36,4,0,20,1,48,3,3,14,7
10,0,1,44,1,0,1,1,72,4,2,3,2
20,1,2,20,3,0,10,0,2,2,0,14,7
40,1,2,46,3,1,2,0,48,2,2,7,7
18,1,1,59,1,0,0,1,48,2,3,9,7
50,1,1,56,2,1,4,0,96,1,2,10,2
5,0,1,47,3,1,10,0,264,2,2,9,2
40,1,2,78,1,1,0,1,72,3,0,9,1
45,1,2,70,2,1,1,1,72,3,2,9,2
25,1,1,78,1,0,0,1,72,4,3,5,1
20,1,1,77,1,0,2,0,72,4,3,9,5
20,1,1,47,3,1,10,0,228,3,2,13,2
20,1,2,41,2,1,10,0,120,2,2,14,2
30,1,2,36,7,0,10,0,72,4,2,12,7
20,1,2,76,2,1,0,1,72,1,1,7,7
40,1,2,51,2,0,15,0,240,2,1,9,1
10,0,1,74,2,1,0,1,72,3,3,14,7
20,1,2,78,1,0,0,1,72,4,2,2,2
20,1,2,40,3,0,10,1,72,4,2,17,2
40,1,1,51,2,1,2,0,60,2,2,13,2
50,1,2,49,4,0,0,1,72,3,2,5,1
25,1,1,71,1,0,25,0,72,4,1,6,7
45,1,1,36,2,1,21,1,72,1,0,5,2
70,1,2,75,1,0,0,1,72,2,3,9,7
20,1,2,49,1,1,2,1,72,4,1,9,2
30,1,2,39,3,0,10,1,72,2,2,7,1
25,1,1,34,4,0,0,1,72,3,1,4,2
40,1,1,53,1,0,4,0,48,2,1,6,6
15,1,2,40,4,0,2,0,204,4,3,9,7
50,1,2,20,5,0,7,0,72,2,3,9,2
60,1,2,61,3,0,1,1,60,4,2,6,1
45,1,1,32,1,0,3,0,48,1,3,15,7
20,1,1,40,2,1,0,0,132,2,3,17,1
10,0,2,71,2,1,1,1,72,1,2,13,1
30,1,1,54,5,1,14,0,72,3,1,6,7
12,1,1,56,1,1,2,0,108,1,3,6,7
10,0,2,47,5,1,0,0,72,4,0,6,7
10,0,1,99,4,0,1,0,72,2,2,9,2
5,0,2,24,4,0,1,0,72,1,3,12,7
30,1,2,28,6,0,1,0,72,1,2,17,6
50,1,2,76,2,0,0,1,72,3,1,7,7
64,1,2,46,3,0,1,1,300,3,2,15,7
10,0,1,76,2,1,0,1,72,4,1,6,7
5,0,1,66,2,1,6,1,72,1,2,16,4
10,0,1,54,1,0,3,1,240,1,3,15,1
99,1,2,33,4,0,0,0,72,1,3,6,7
10,0,2,40,1,0,2,1,168,1,3,14,2
25,1,1,60,2,1,6,0,72,3,2,5,1
10,0,2,52,2,0,1,0,72,2,3,9,7
10,0,2,80,1,0,0,0,72,1,1,1,7
4,0,2,35,5,0,10,1,36,1,3,15,1
10,0,1,44,3,1,5,1,72,4,0,9,2
15,1,2,48,4,1,7,0,72,1,3,12,7
50,1,2,28,4,0,0,0,12,3,1,16,4
95,1,2,34,5,0,20,0,72,3,2,6,2
7,0,1,56,2,0,3,0,72,1,2,14,7
50,1,2,35,3,1,1,0,14,4,3,9,2
5,0,2,58,2,0,10,1,432,1,3,12,1
5,0,1,44,1,0,0,1,72,3,2,2,7
20,1,2,39,5,0,20,0,72,1,3,9,7
10,0,2,27,4,1,7,1,6,3,0,11,1
60,1,2,53,2,0,5,1,72,4,1,13,7
40,1,2,32,4,0,0,1,72,4,3,9,7
60,1,2,62,2,0,7,0,72,2,2,4,7
40,1,2,37,3,0,1,1,12,1,2,3,7
40,1,1,45,1,0,0,0,72,3,3,5,6
35,1,1,34,1,1,7,0,72,4,3,11,1
20,1,1,65,2,1,4,0,72,1,2,12,7
15,1,1,65,2,1,15,0,72,2,2,7,1
25,1,2,45,2,0,3,0,72,4,3,17,7
20,1,2,20,4,0,12,1,1,4,3,11,7
35,1,2,25,2,0,3,1,24,4,1,14,7
20,1,1,66,3,1,0,0,600,2,2,9,7
15,1,2,29,1,0,7,0,36,4,3,9,1
3,0,2,46,4,0,1,0,216,1,2,17,7
6,0,1,62,2,0,1,0,72,2,1,4,6
5,0,1,32,4,0,1,1,48,1,3,9,1
40,1,1,71,2,1,0,0,72,1,2,10,7
12,1,2,44,3,0,10,1,120,2,3,9,2
10,0,1,56,2,0,3,0,240,1,2,15,1
40,1,2,37,5,0,7,1,18,3,3,6,7
7,0,1,27,2,1,2,0,24,3,3,16,1
20,1,1,76,2,1,0,0,72,1,2,9,7
6,0,1,61,2,1,10,1,72,2,3,9,7
6,0,1,56,3,1,1,1,72,3,3,17,1
8,0,1,37,1,0,7,0,96,3,2,10,2
50,1,1,68,2,1,0,1,72,4,0,4,2
15,1,1,50,1,0,3,1,72,1,3,14,1
70,1,2,56,2,0,0,0,108,2,3,9,2
20,1,1,49,4,1,5,1,96,4,2,10,2
30,1,2,82,1,1,8,0,72,3,3,9,1
15,1,1,51,4,0,2,0,156,2,3,17,7
80,1,2,70,2,1,0,1,72,1,2,4,7
70,1,2,36,7,1,0,1,72,4,1,8,2
20,1,2,61,1,0,1,1,72,2,2,3,1
10,0,1,75,2,1,4,1,72,3,2,12,7
70,1,1,56,1,1,0,0,204,4,1,7,2
25,1,2,24,3,0,6,0,72,2,2,3,7
20,1,1,60,2,1,14,1,108,2,2,16,7
20,1,1,67,2,1,0,0,72,4,0,5,7
20,1,1,34,4,0,2,1,96,3,3,17,1
50,1,2,40,5,1,0,0,72,1,1,5,2
50,1,2,72,2,0,1,1,72,2,1,2,2
50,1,1,41,4,0,0,1,60,3,2,5,1
23,1,1,51,2,0,1,0,444,2,3,17,7
30,1,2,31,3,0,3,1,36,3,3,17,1
50,1,1,76,2,1,0,1,72,3,1,9,1
25,1,2,65,2,1,0,1,72,3,3,5,7
20,1,2,80,2,1,0,1,72,3,1,14,7
40,1,2,40,4,0,1,1,96,3,2,15,7
80,1,1,72,1,1,0,1,72,3,2,2,2
30,1,1,53,1,1,7,0,300,1,2,9,3
30,1,2,44,2,0,1,0,72,1,2,5,2
10,0,1,59,2,0,6,0,372,1,3,17,2
20,1,1,56,3,1,8,0,144,3,2,13,7
20,1,1,56,1,0,1,1,72,2,3,9,1
15,1,1,51,2,1,1,0,408,1,0,11,6
25,1,2,50,2,0,15,0,72,3,3,17,1
50,1,2,42,4,0,1,0,72,4,2,5,2
10,0,1,41,1,1,1,1,108,2,2,6,2
5,0,2,37,1,0,6,0,24,2,3,10,2
35,1,2,39,2,0,4,1,84,4,2,5,7
60,1,2,20,2,0,3,0,18,4,2,10,2
40,1,1,27,2,0,14,1,132,4,3,9,1
40,1,1,48,4,1,1,0,36,2,2,13,7
6,0,1,52,1,0,7,0,120,3,2,13,2
10,0,2,52,3,0,10,1,108,2,3,17,1
25,1,2,18,4,1,20,0,24,3,1,17,5
45,1,1,63,1,1,1,1,48,4,3,10,6
60,1,2,42,1,0,6,0,168,3,3,7,7
30,1,2,39,1,0,4,0,180,3,3,9,7
15,1,1,43,1,0,15,1,24,4,2,15,7
35,1,2,44,4,0,8,0,288,4,3,13,7
20,1,2,82,1,0,0,1,72,1,2,7,2
15,1,2,25,2,1,14,1,72,3,3,11,7
40,1,2,71,1,1,0,1,72,2,2,4,2
50,1,2,83,1,1,0,1,72,2,1,3,7
40,1,2,38,1,0,10,0,2,3,2,6,7
10,0,2,62,1,0,5,1,72,3,1,7,7
15,1,1,64,1,0,6,1,72,1,2,4,4
25,1,1,72,2,1,0,1,72,1,3,4,1
2,0,2,23,2,0,0,1,60,2,3,13,7
25,1,1,70,1,1,0,1,72,3,1,13,2
5,0,2,78,1,1,0,0,72,3,2,9,1
15,1,1,64,1,1,0,0,72,1,2,9,5
80,1,2,55,2,1,1,1,216,3,3,9,2
50,1,2,24,3,0,7,0,72,4,2,5,7
20,1,1,44,3,0,10,0,72,2,2,7,1
60,1,2,71,1,1,0,1,72,3,1,4,1
35,1,2,70,2,1,2,1,72,3,2,9,1
80,1,2,72,2,1,14,1,72,4,3,9,7
35,1,2,55,1,0,1,0,18,2,2,11,4
20,1,2,66,2,0,7,1,72,1,2,14,1
50,1,2,69,1,0,0,1,72,4,3,4,7
10,0,1,45,2,1,14,1,108,2,1,13,7
10,0,2,70,2,1,1,1,72,3,2,14,2
45,1,2,31,3,0,10,0,72,4,3,5,7
70,1,1,40,1,1,0,0,192,4,3,12,1
1,0,1,53,4,1,3,0,60,4,3,16,2
60,1,1,20,3,1,1,0,8,3,1,9,6
15,1,1,20,4,0,10,1,72,4,3,9,2
7,0,2,21,5,1,10,0,72,3,3,9,2
40,1,2,19,3,0,28,1,36,3,3,9,7
30,1,1,42,4,1,10,1,72,4,1,14,2
50,1,2,46,2,0,20,1,72,4,1,9,1
20,1,2,36,4,0,2,1,24,2,3,9,7
50,1,2,58,1,1,0,1,72,4,2,2,1
10,0,2,18,3,0,14,1,11,3,1,9,7
