"shareself","shareblue","sharewhite","sharedomestic","shareunemployed","nvoter","nazivote","sharenazis"
14.52451,46.67877,7.51894,23.72128,7.5565,20724,8915,43.0177571897317
17.76995,37.847,8.86076,27.10842,8.41387,61024,20388,33.4098059779759
21.00499,28.78295,6.1648,37.18949,6.85777,31741,9670,30.4653287546076
14.9859,45.92575,9.11449,21.09423,8.87963,67591,26634,39.4046544658312
11.46592,27.82162,29.76835,7.48931,23.4548,226176,100041,44.2314834465195
21.45603,30.40565,5.73774,35.49705,6.90353,30835,15255,49.4730014593806
18.4266,38.78074,6.23398,29.56744,6.99124,32939,15791,47.9401317587055
15.96905,44.34049,7.56757,23.82536,8.29753,57187,25943,45.3652053788448
17.04057,43.67858,6.48391,27.66537,5.13157,23404,13104,55.990428986498
12.85784,46.01309,13.09826,18.13811,9.8927,30513,14507,47.5436699111854
15.42178,41.32032,10.5162,23.94123,8.80047,27742,12908,46.5287290029558
18.12074,37.17381,6.88057,28.64732,9.17756,24094,11914,49.4479953515398
22.15256,28.31101,6.40032,35.85345,7.28266,26651,14212,53.3263292184158
17.21933,40.97764,8.52793,27.37719,5.89791,77067,37265,48.3540296105986
12.46292,24.78628,34.30067,8.46176,19.98837,27618,12047,43.6201028314867
21.90335,29.44825,5.74431,37.99759,4.9065,23822,14905,62.56821425573
22.19648,30.4297,6.57852,35.43413,5.36117,60257,33669,55.875665897738
18.67177,31.08632,12.43952,24.8656,12.93679,75824,37760,49.7995357670395
21.75747,22.48127,4.0918,43.66771,8.00175,32778,12242,37.3482213679907
13.14104,29.9066,30.09458,9.46954,17.38824,26276,9897,37.6655503120719
20.22556,27.73802,4.53745,40.83705,6.66192,30880,20064,64.9740932642487
18.41008,33.83018,12.41239,29.89974,5.44761,27263,16699,61.2515130396508
20.84993,28.40862,8.20404,35.79912,6.73829,34392,24055,69.9435915329146
19.87329,29.3051,6.04749,38.80389,5.97023,22402,15859,70.7927863583609
22.78379,21.0789,6.86571,41.57796,7.69364,41443,26633,64.2641700649084
17.0679,34.59844,10.09779,30.75879,7.47708,45140,23667,52.4302171023483
19.86311,29.94225,7.1016,33.92513,9.16791,30589,9951,32.5313021020628
19.36613,31.96492,6.42523,34.58771,7.65601,31380,18794,59.8916507329509
19.64737,37.42747,3.30308,32.38357,7.23851,15984,7348,45.970970970971
10.45354,31.77672,19.05067,6.88474,31.83433,51441,20623,40.0905892187166
12.94097,37.58819,20.74318,15.88664,12.84102,26777,12866,48.0486985099152
17.7727,32.67086,12.95535,25.34074,11.26035,26883,13982,52.0105642971395
17.11958,34.0372,12.14526,28.0992,8.59876,35805,20009,55.8832565284178
15.64901,42.71273,6.68939,24.53353,10.41534,22064,7215,32.7003263234228
13.5855,26.84832,16.79751,6.00165,36.76702,217223,64730,29.7988702853749
9.55362,32.39763,18.60494,4.01612,35.42769,436417,116065,26.5949768226261
13.90276,26.09557,24.00202,6.74913,29.25052,482382,144590,29.974169848792
10.48016,31.02945,20.51328,4.52016,33.45695,310835,85388,27.4705229462577
12.99637,27.91759,24.21321,7.638,27.23483,224209,64143,28.6085750349005
15.60671,22.19352,27.94591,10.0528,24.20106,282617,93032,32.9180481004327
11.50076,29.66805,24.72185,6.65281,27.45653,68885,23690,34.3906510851419
8.12554,35.06291,26.18101,4.41378,26.21676,110164,40750,36.9903053629135
13.91506,19.14499,40.29087,9.92273,16.72635,152720,63413,41.5223939235202
9.72057,30.10733,26.06631,4.34994,29.75585,341716,97601,28.5620222641024
20.48509,14.55957,33.35032,15.20958,16.39544,165226,53505,32.3829179426967
16.28171,17.70285,36.2502,19.72585,10.03939,50393,17578,34.8818288254321
10.06503,27.40383,29.90902,5.09739,27.52473,107355,36939,34.4082716221881
8.5246,30.92017,19.53573,3.72056,37.29894,394885,100652,25.4889398179217
8.61352000000002,30.49828,28.91063,4.0924,27.88517,98065,30263,30.8601437821853
16.11352,41.22514,8.53601,23.25393,10.8714,44262,22484,50.7975238353441
12.17196,31.113,24.31306,7.62581,24.77617,22520,10011,44.4538188277087
16.85787,34.4462,11.12867,22.72904,14.83822,55783,23946,42.9270566301561
14.86892,36.34627,13.705,12.02144,23.05837,133250,50241,37.7043151969981
14.87005,41.91953,10.67834,17.01659,15.51549,59534,25536,42.8931366949978
13.20038,42.18344,13.20884,13.88711,17.52023,147400,59041,40.0549525101764
19.86414,39.04637,7.29197,28.56695,5.23057,48447,28505,58.8374925175965
13.79008,33.33696,22.12294,13.79551,16.95451,159932,60740,37.978640922392
13.24204,50.1682,9.57899,17.2313,9.77947,39840,20033,50.2836345381526
12.47063,39.41918,22.48559,7.35284,18.27176,20869,6936,33.2359001389621
18.45384,37.12448,10.39428,25.25551,8.77189,55076,28506,51.7575713559445
16.84153,43.8291,7.65819,22.13449,9.53669,37861,16864,44.541876865376
21.07599,35.17494,7.84064,29.66786,6.24057,42797,23359,54.5809285697596
14.6821,25.43183,29.33664,7.89232,22.65711,18503,7843,42.3877209101227
21.52483,31.14193,6.42091,33.19548,7.71685,69094,34521,49.9623701044953
16.4536,41.8831,7.46871,24.64002,9.55457,29627,15920,53.7347689607453
13.92687,41.55864,10.80996,19.31613,14.3884,72754,29872,41.0589108502625
21.2223,30.87181,4.97445,33.69016,9.24128,39172,21291,54.3525987950577
16.04485,31.39821,25.40532,8.17283,18.97879,39907,17113,42.8822011175984
21.77108,25.57263,7.1335,33.75395,11.76884,40141,22540,56.1520639744899
12.6124,50.87331,13.68109,8.43651,14.39669,28475,10764,37.801580333626
12.25311,30.27849,27.73938,8.08872,21.6403,55582,28205,50.7448454535641
20.98516,29.997,6.82261,29.70835,12.48688,36828,21003,57.0299771912675
21.34962,31.04661,4.95092,33.37713,9.27572,31362,17586,56.074229959824
12.31418,44.83531,16.14865,8.36993,18.33193,32126,12894,40.1357156197472
17.02594,37.89565,11.36166,21.65998,12.05677,66636,32142,48.2351881865658
23.22607,30.1386,4.24083,33.72965,8.66485,37705,21246,56.3479644609468
13.86486,32.0112,23.09308,8.65803,22.37283,31747,15055,47.4218036349891
16.44361,40.16619,9.37759,22.30644,11.70617,111611,49508,44.3576350001344
24.90087,21.72329,8.71289,39.03119,5.63176,22447,13750,61.2554016126877
19.5855,31.99313,7.80733,28.20641,12.40763,52158,25006,47.942789217378
21.70379,34.79219,5.55224,30.40643,7.54535,28281,16042,56.7235953466992
17.90205,39.46857,6.55562,26.58338,9.49038,33158,18636,56.2036310995838
16.95706,39.65236,9.00524,22.3267,12.05864,61282,29474,48.0956887830032
12.06598,44.45358,10.07401,14.48282,18.92361,29487,11202,37.9896225455285
17.4247,37.53344,5.82118,28.87719,10.34349,30709,15869,51.6754046045133
19.60737,34.14956,9.46801,28.54488,8.23018,41378,22936,55.4304219633622
17.03032,35.78163,8.50019,28.93059,9.75727,43288,18794,43.4161892441323
20.6903,27.54616,6.00595,38.41069,7.3469,25511,13496,52.9026694367136
20.41188,30.60771,8.68161,29.55784,10.74096,12841,6324,49.2485008955689
18.23555,34.09394,11.32016,26.67006,9.68029,21749,9562,43.9652397811394
22.17519,22.49267,7.01813,35.86512,12.44889,27664,15320,55.3788316946212
19.33732,30.34556,6.93665,33.3309,10.04957,35741,16175,45.2561484009961
11.38319,25.32848,28.35045,9.01218,25.9257,28019,14422,51.4722152824869
18.031,38.10848,7.64951,26.35605,9.85496,13668,4939,36.1354989757097
18.85074,36.72633,7.30475,31.06243,6.05575,56799,31492,55.4446381098259
16.09828,45.29125,10.36645,20.70324,7.54078,32236,16247,50.4001737188237
15.12218,47.53835,7.92167,18.4839,10.9339,47762,21169,44.3218458188518
15.87008,27.46237,27.70883,10.86172,18.097,21012,8349,39.7344374643061
16.70643,46.28232,6.7001,23.4601,6.85105,25048,11337,45.2610986905142
20.14629,37.01389,5.98214,31.23024,5.62744,68263,37089,54.3325080936964
15.06491,49.45701,7.00988,23.83033,4.63787,31458,17701,56.2686756945769
13.71029,48.21332,12.54142,17.04986,8.48511,53762,28578,53.1565045943231
13.34082,33.01137,20.78142,12.24183,20.62456,313870,130626,41.6178672698888
14.9045,26.87545,27.22219,9.23001,21.76785,29304,13408,45.7548457548458
18.97494,27.71467,10.95812,23.47294,18.87933,38992,17416,44.6655724251128
22.26519,28.89212,15.12649,23.27712,10.43908,46432,22678,48.8413163335631
17.22877,38.93268,9.09928,26.97549,7.76378,48870,27268,55.7970124820954
19.02207,25.66505,7.68591,37.23549,10.39148,16995,8711,51.2562518387761
18.19613,37.00698,7.30304,28.58267,8.91118,26388,15538,58.8828255267546
18.11008,29.8152,13.13705,26.5295,12.40817,47676,24077,50.5013004446682
20.08639,33.04112,5.09465,35.26024,6.5176,29270,16526,56.4605398018449
13.39976,28.00198,23.06869,9.92423,25.60534,20445,8790,42.993396918562
16.34718,32.59118,10.14097,29.9607,10.95997,119758,58618,48.9470432037943
18.98594,32.80917,7.37223,33.52437,7.30829,52476,30323,57.784511014559
20.92198,30.73678,5.74939,35.50301,7.08884,73992,39021,52.7367823548492
16.12716,45.4339,6.92373,21.82644,9.68877,27908,12133,43.4749892503942
18.45374,44.46731,10.55479,19.50541,7.01875,33112,15641,47.236651365064
14.19179,44.09839,8.25659,19.7344,13.71883,96153,44324,46.0973656568178
11.62998,24.659,23.62706,7.73532,32.34864,479621,201309,41.9725157989329
18.41952,33.48517,5.67647,27.64755,14.77129,56725,30861,54.4045835169678
11.97433,26.93847,23.75236,8.29747,29.03737,19224,8800,45.7761131918435
18.91595,32.25053,9.53314,25.1792,14.12118,47659,19314,40.5253991900795
16.70067,31.74096,10.56917,21.84062,19.14858,79738,26594,33.3517269056159
21.57884,28.4669,5.79751,32.56877,11.58798,17446,8144,46.6811876647942
21.20732,35.13438,6.01798,30.39266,7.24766,25102,15647,62.3336785913473
23.45038,26.74547,6.8238,32.71028,10.27007,34996,15912,45.4680534918276
22.5042,28.94084,6.71283,35.1333,6.70883,30094,17374,57.7324383598059
18.34528,37.42585,8.08206,27.76199,8.38482,19200,8974,46.7395833333333
16.59076,41.25091,6.24413,23.90224,12.01196,35203,17052,48.4390534897594
16.82987,38.81694,8.95908,25.37545,10.01866,43780,25400,58.0173595248972
12.91544,43.00385,10.10882,13.93562,20.03627,56405,24643,43.6893892385427
12.83006,38.79382,8.84166,16.25725,23.27721,59576,23551,39.5310192023634
11.28455,27.80834,28.19217,8.83444,23.8805,22353,9261,41.4306804455778
19.60219,35.28807,7.54115,29.69822,7.87037,36102,20129,55.7559137997895
10.58186,44.51191,10.2116,11.65744,23.03719,88503,35930,40.5974938702643
8.79687,40.08034,21.09085,7.18995,22.84199,32073,12758,39.7780064228479
20.8251,32.78733,8.57969,28.25696,9.55092,40237,22260,55.3222158709645
17.89012,33.02747,8.75084,24.99156,15.34001,45603,21035,46.1263513365349
19.14978,34.12253,8.62736,25.5248,12.57553,77450,37096,47.8967075532602
18.27729,36.27062,7.38973,25.81387,12.24849,102981,52411,50.8938542061157
13.15769,25.79001,32.76876,9.34682,18.93672,19485,8080,41.4677957403131
15.38824,32.29409,16.32447,15.06613,20.92707,109400,49179,44.9533820840951
17.45221,31.76741,8.65258,21.88943,20.23837,56216,26407,46.9741710545041
14.77217,24.48994,27.24106,11.83621,21.66062,21879,9856,45.0477626948215
17.04044,34.71224,7.61303,27.81769,12.8166,35780,15419,43.0939072107323
17.91498,37.79597,8.06237,21.78422,14.44246,49711,26103,52.5095049385448
17.75339,38.12459,6.81449,24.31791,12.98962,145994,76232,52.2158444867597
12.69228,29.23585,21.14456,8.99928,27.92803,54838,25594,46.672015755498
23.22271,29.33711,6.98625,32.42146,8.03247,41723,22026,52.7910265321286
19.04835,31.77107,8.75581,26.52269,13.90208,24338,14784,60.7445147505958
15.74356,37.04078,7.51944,24.27706,15.41916,58335,23577,40.4165595268707
7.98472,41.22629,15.39114,6.83901,28.55884,206225,79701,38.6475936477149
16.58019,27.46329,8.00861,29.69439,18.25352,51601,18761,36.3578225228193
21.80651,28.28126,5.48172,34.92151,9.509,24289,8750,36.0245378566429
20.53629,33.09256,6.72834,30.69807,8.94474,24720,11067,44.7694174757282
16.54664,34.52564,10.8173,26.69894,11.41148,32520,16125,49.5848708487085
21.30954,27.51445,6.93376,30.92858,13.31367,51680,19941,38.5855263157895
20.00345,33.80374,6.22316,29.96221,10.00744,43002,13891,32.3031486907586
13.21824,24.65671,29.2761,11.11185,21.7371,23103,6170,26.7064883348483
20.79343,26.66553,7.36509,30.73035,14.4456,60760,20444,33.6471362738644
16.55717,24.21706,5.78081,33.00437,20.44059,86540,27750,32.0660966027271
13.51155,26.13026,17.81382,23.05517,19.4892,79426,27332,34.4119054213985
13.56264,27.12324,12.57523,22.02501,24.71388,70435,26253,37.2726627386953
21.04701,23.50579,5.16997,37.19169,13.08554,33066,9976,30.1699631040948
11.74017,31.75602,15.50107,18.70692,22.29582,123324,46238,37.4931075865201
12.37396,41.50198,18.75454,7.77607,19.59345,17792,6293,35.3698291366906
13.52459,39.71864,11.0104,14.4987,21.24767,76057,28276,37.1773801228026
19.7848,31.57179,9.20977,34.01018,5.42346,42418,23071,54.3896459050403
17.85544,35.3207,10.31298,22.59088,13.92,53082,26705,50.3089559549376
13.42347,26.90154,26.63753,8.22067,24.81679,35273,15133,42.9025033311598
16.68498,42.48417,6.0308,24.64117,10.15888,74853,33633,44.932066851028
17.77113,38.255,7.53197,27.93279,8.50911,47435,21035,44.3448930114894
12.41951,29.07276,26.49845,6.8483,25.16098,230808,84509,36.6144154448719
13.8158,44.49646,8.19836,18.21927,15.27011,44730,19309,43.1678962664878
14.28305,44.25839,8.18661,17.66416,15.60779,85497,34464,40.3101863223271
19.75879,41.60213,6.2382,28.9639,3.43698,29822,15725,52.7295285359802
15.63018,40.75214,7.9335,21.17653,14.50765,31545,13859,43.9340624504676
12.91379,33.08606,22.95605,8.89367,22.15043,18635,9602,51.5266970753958
23.00759,33.74334,7.4283,32.10237,3.7184,41802,24291,58.1096598248888
16.59496,44.34093,7.1045,24.08349,7.87612,36316,16735,46.0816169181628
13.2848,34.69797,26.84449,9.82242,15.35032,22686,10373,45.7242352111434
11.91436,40.89575,12.74744,12.23764,22.20481,64617,25161,38.9386693904081
12.56838,35.25982,15.66882,14.52511,21.97787,119763,52402,43.7547489625343
16.29859,33.39565,10.34505,21.9353,18.02541,43462,20409,46.9582623901339
11.71112,44.14029,10.96399,14.91128,18.27332,69597,23597,33.9051970630918
14.08326,42.06735,8.3438,17.49094,18.01465,56452,23550,41.7168567986962
20.96538,28.33904,5.00911,36.09938,9.58709,27158,16156,59.4889167096252
11.82178,42.75877,20.88898,8.23247,16.298,16776,7347,43.7947067238913
11.9104,27.47138,27.67473,6.90738,26.03611,158092,59717,37.7735748804494
17.56115,35.73574,7.45874,28.25903,10.98534,53561,26794,50.0252049065551
14.17242,40.25938,10.27617,19.24426,16.04777,83326,33841,40.6127739241053
10.21346,52.66401,6.86394,12.97293,17.28566,53341,20467,38.3701092967886
11.89744,41.06929,9.64568,16.17084,21.21675,65474,24533,37.4698353544919
10.19107,33.00862,28.06295,7.37355,21.36381,21300,7860,36.9014084507042
18.01851,24.52078,20.47658,13.78636,23.19777,21766,8927,41.013507304971
14.64931,40.6363,6.85756,23.02241,14.83442,46096,21485,46.6092502603263
12.29029,43.96089,8.1574,11.67059,23.92083,60571,19891,32.839147446798
17.1393,31.48425,8.99392,27.99613,14.3864,50657,22478,44.3729395739977
23.09541,28.33892,5.0116,38.62836,4.92571,27640,16750,60.6005788712012
18.31161,36.60723,9.16541,25.49221,10.42354,40399,20891,51.7116760315849
13.02458,39.46036,10.49411,15.92249,21.09846,91600,35809,39.0927947598253
16.08485,42.31072,11.35794,21.2174,9.02909,57036,25015,43.8582649554667
12.79832,41.58078,5.89208,16.63451,23.09431,25288,9200,36.380892122746
12.7857,29.54043,19.21848,7.33595,31.11944,25645,10199,39.7699356599727
14.2045,42.68645,12.24332,9.77472,21.09101,97003,34247,35.3050936568972
13.80984,33.93617,14.86037,7.75931,29.63431,19269,8689,45.0931548082412
17.79084,39.81251,8.5015,13.74189,20.15326,130936,59354,45.330543166127
13.22314,28.04998,19.61826,7.81189,31.29673,15606,7549,48.3724208637703
19.36375,38.23711,7.5102,18.83216,16.05678,65421,23640,36.1351859494658
13.02911,34.34208,26.46524,7.53208,18.63149,31753,11206,35.2911535917866
19.09061,45.13559,8.2145,15.43533,12.12397,98606,43610,44.2265176561264
13.144,32.09907,21.37837,6.51141,26.86715,61674,23953,38.8380841197263
12.00438,28.12128,26.76472,7.15408,25.95554,35320,14727,41.6959229898075
14.30455,45.77536,11.6639,9.9643,18.29189,66440,30150,45.3792895845876
17.76757,35.18321,11.79687,14.03432,21.21803,47025,16496,35.0792131844763
15.61355,40.09677,12.31551,15.02642,16.94775,67606,27810,41.1354021832382
21.06972,37.449,9.79183,18.70217,12.98728,48403,22562,46.6128132553767
18.32554,34.57714,9.09432,14.40966,23.59334,96195,50571,52.5713394667082
19.84146,36.43639,10.5491,18.55949,14.61356,162364,65552,40.3734818063117
15.12949,23.61199,31.89459,10.23626,19.12767,35550,15539,43.7102672292546
17.32752,33.25935,7.90384,27.37567,14.13362,30752,5885,19.1369667013528
21.4744,25.07633,7.42511,34.1962,11.82796,27316,14902,54.554107482794
18.60906,33.03704,3.84362,28.52263,15.98765,27046,11071,40.9339643570214
16.08779,30.84225,15.33059,7.30316,30.43621,27012,10948,40.5301347549237
15.09717,28.25112,27.02081,9.92296,19.70794,27165,11301,41.601325234677
13.83648,37.51143,10.96334,16.15272,21.53603,53247,22162,41.6211241947903
14.90767,27.77565,19.8844,15.39652,22.03576,147643,62445,42.2945889747567
17.2826,30.75837,6.89146,28.79603,16.27154,76862,27902,36.3014233301241
17.41911,34.43302,11.14369,16.93287,20.07131,92814,45945,49.5022302669856
19.29614,37.62774,8.91554,24.53076,9.62982,25046,12327,49.2174399105646
26.77911,24.99657,7.87056,33.68984,6.66392,9398,4962,52.7984677590977
25.44841,30.4523,5.2855,33.05606,5.75773,28395,17962,63.2576157774256
14.57011,22.71711,24.31477,8.8719,29.52611,47352,19664,41.5272850143605
18.63579,35.19978,11.14361,24.13876,10.88206,39742,18156,45.6846660963213
25.47961,23.03437,9.40779,34.87423,7.204,28878,17842,61.784057067664
11.17738,24.74317,28.1186,7.41747,28.54338,158813,69225,43.5890009004301
11.90015,39.55492,18.65371,7.46038,22.43084,27997,11534,41.1972711361932
24.98367,25.43132,8.64497,30.54183,10.39821,28817,17554,60.9154318631363
18.56698,36.95348,10.71155,20.70117,13.06682,60125,26099,43.4079002079002
15.34963,28.28477,19.40848,10.98574,25.97138,264695,105801,39.9709099151854
18.78964,34.41448,9.60712,23.51654,13.67222,107063,57106,53.3386884357808
23.96866,27.07063,11.38446,29.52213,8.05412,46601,29014,62.2604665135941
22.18591,33.49975,6.74161,30.54737,7.02536,35026,20989,59.9240564152344
20.68621,31.20727,11.29433,22.61426,14.19793,55844,27875,49.9158369744288
16.40592,30.27582,16.41262,14.26067,22.64497,110881,43087,38.8587765261857
25.48693,24.73139,9.95437,34.74955,5.07776,22869,14393,62.9367265730902
24.07294,29.27831,7.77735,29.87716,8.99424,35608,20153,56.5968321725455
22.83981,20.292,6.01069,45.5583,5.2992,50546,9192,18.1854152653029
24.0782,21.93554,5.0561,43.87406,5.0561,35011,11405,32.5754762788838
18.54383,35.1073,8.29552,34.47272,3.58063,34992,16820,48.0681298582533
20.60421,23.54588,7.68845,42.95086,5.2106,25796,5147,19.9527058458676
23.22183,28.39633,5.33148,36.57771,6.47265,18098,6575,36.3299812133938
17.39427,35.41977,6.73905,30.64007,9.80684,46864,12468,26.604643222943
14.02754,30.86985,26.82104,8.96654,19.31503,66689,25485,38.2146980761445
24.72056,20.07938,4.0094,47.90215,3.28851,12452,6133,49.2531320269836
22.31538,20.06962,5.59943,42.4898,9.52577,30395,17349,57.0784668531008
20.15892,29.36379,8.18473,30.6488,11.64376,95707,45237,47.2661351834244
13.99289,29.25663,23.66084,12.02514,21.0645,21884,7338,33.5313471029062
9.38111,21.20883,51.86391,6.81144,10.73471,16852,7579,44.9738903394256
25.7283,21.88267,4.21147,42.17265,6.00491,25687,15708,61.1515552614163
23.67717,18.56146,5.2217,48.66413,3.87554,65137,12511,19.2072094201452
20.29951,30.80384,8.21124,29.35311,11.3323,35779,16532,46.2058749545823
16.84639,27.43129,16.61335,23.68973,15.41924,104496,44173,42.2724314806308
22.02177,25.62163,6.95159,35.19056,10.21445,61246,34598,56.4902197694543
14.12654,28.14938,25.43019,8.75207,23.54182,247750,71277,28.7697275479314
18.40135,35.65407,10.01511,26.23006,9.69941,37839,19004,50.2233145696239
21.24105,31.58736,5.35143,35.89153,5.92863,72893,44678,61.292579534386
15.13206,28.23243,26.7371,10.32913,19.56928,19531,8004,40.9810045568583
17.63257,31.06914,11.85433,22.51359,16.93037,190038,83671,44.0285627085109
23.82723,27.83087,5.19581,39.20006,3.94603,57899,32129,55.4914592652723
14.4284,29.72495,25.07683,9.71112,21.0587,21906,8448,38.5647767734867
22.24325,28.34056,7.02618,35.94328,6.44673,41009,24730,60.3038357433734
18.26551,38.66493,8.91502,28.84783,5.30671,38633,21877,56.6277534750084
26.30562,26.68764,5.42921,35.95955,5.61798,27968,13410,47.9476544622426
15.86157,31.80889,8.19817,23.21469,20.91668,52949,18894,35.6833934540785
24.20142,24.85581,6.89885,40.68323,3.36069,19365,11468,59.2202427059127
19.85868,28.45244,9.92934,30.97427,10.78527,42670,19153,44.8863370049215
18.37953,27.93773,12.89578,25.01808,15.76888,136477,56317,41.2648285059021
24.46419,20.65901,5.0943,44.51478,5.26772,75213,45496,60.4895430311249
14.86782,30.86621,25.89671,9.55673,18.81253,19119,9084,47.5129452377216
19.7457,34.03353,7.13834,27.76518,11.31725,34720,17038,49.0725806451613
13.01068,41.26473,10.90739,17.1567,17.6605,52350,19640,37.5167144221586
12.42791,27.93501,25.61495,7.42767,26.59446,336683,131093,38.9366258468648
24.59592,22.3054,5.55721,42.0587,5.48277,52286,27853,53.2704739318364
21.25089,26.93902,7.04318,35.8833,8.88361,24141,13851,57.3754194109606
18.5619,40.3057,6.83954,25.97241,8.32045,22425,10150,45.2619843924192
17.21035,35.12026,9.16523,23.47115,15.03301,35356,15217,43.0393709695667
19.8394,20.50857,6.14365,35.24951,18.25887,18236,4153,22.7736345689844
19.79294,26.42438,8.08659,31.07942,14.61667,18208,10220,56.1291739894552
14.32421,44.39501,7.50674,18.31568,15.45836,21901,10033,45.8106935756358
14.58375,30.2983,28.10489,10.56736,16.4457,16432,8798,53.5418695228822
16.10567,35.13784,6.54215,32.14143,10.07291,24308,12857,52.8920519993418
14.29257,27.31728,31.72278,11.33603,15.33134,32659,15283,46.79567653633
16.0866,40.62839,7.48451,21.45092,14.34958,20516,5482,26.7206083057126
14.21512,27.32098,25.59672,9.68297,23.18421,45084,15513,34.4091030077189
18.68451,40.29453,5.99427,24.81716,10.20953,25081,9662,38.5231848809856
16.25983,27.66534,11.58634,28.00612,16.48237,19520,9436,48.3401639344262
17.29717,32.25594,9.31199,30.46491,10.66999,37761,21353,56.5477609173486
17.45305,29.94497,8.17417,29.13969,15.28812,32683,15250,46.6603432977389
17.61409,31.95793,9.87986,24.79945,15.74867,37628,17102,45.4501966620602
15.03658,37.83076,11.94798,16.46347,18.72121,20101,10064,50.0671608377693
16.18788,33.98493,12.24432,22.64718,14.93569,26759,11370,42.4903770693972
14.1154,32.5663,20.77847,12.2506,20.28923,153114,64507,42.1300468931646
17.33528,36.22782,9.61227,23.19671,13.62792,35460,16348,46.1026508742245
17.23151,38.29977,10.54491,20.34296,13.58085,52534,24524,46.6821487036967
16.94068,32.04928,10.53242,27.28509,13.19253,35206,15679,44.5350224393569
16.04927,42.47037,11.03184,17.00906,13.43946,59068,29772,50.4029254418636
15.0406,34.13043,9.45268,25.37062,16.00567,55391,12434,22.4476900579517
11.29349,44.71953,14.09483,8.30903,21.58312,19598,2415,12.3226859883662
18.86942,26.41236,7.08078,40.33938,7.29806,31313,6478,20.6878932072941
5.79894,39.46651,12.41238,6.07801,36.24416,49660,10808,21.7639951671365
17.20626,34.27207,8.84927,31.39524,8.27716,76402,14552,19.0466218161828
6.84409,35.68138,12.45987,6.9511,38.06356,35627,8930,25.0652594942038
15.08078,30.65823,7.22016,27.49778,19.54305,49460,10958,22.1552769915083
17.3659,33.66968,9.80913,32.84808,6.30721,34624,7932,22.9089648798521
12.84059,22.33643,36.99897,11.85258,15.97143,83433,26490,31.7500269677466
9.71818,38.48199,11.98834,13.30068,26.51081,162921,43075,26.4391944562088
14.2405,44.56535,10.47101,22.15821,8.56493,64919,12889,19.8539718726413
18.37871,30.01601,6.56092,37.58865,7.45571,45180,16479,36.4741035856574
21.1075,27.4032,7.80756,39.81406,3.86768,23189,5955,25.6802794428393
12.44243,42.30963,17.42907,9.72206,18.09681,132654,47217,35.5941019494324
19.37237,21.81409,6.83681,42.36698,9.60975,25287,4303,17.0166488709614
22.7264,29.478,6.117,35.15126,6.52734,23646,12751,53.9245538357439
17.63186,28.01946,9.20505,31.98966,13.15397,40882,9171,22.4328555354435
16.34632,42.78829,8.39361,20.40396,12.06782,140178,68101,48.5818031360128
16.67522,31.76608,12.84987,25.25101,13.45782,101544,42460,41.8143858819822
17.50951,31.91654,13.59265,28.9566,8.0247,124066,29861,24.0686408846904
19.50355,32.10614,7.37509,30.52036,10.49486,34591,16813,48.6051285016334
17.87722,37.60858,7.76699,28.20644,8.54077,19345,8071,41.7213750323081
17.46103,36.25793,9.46052,22.92186,13.89866,117944,48921,41.4781591263651
7.93794000000001,36.79402,17.4914,7.45025,30.32639,213237,70587,33.1026041446841
18.72301,24.54945,8.4921,36.58257,11.65287,29110,5634,19.3541738234284
8.43333,33.27757,16.75306,7.28173,34.25431,503887,123158,24.4415910710139
6.97516,37.36404,13.57732,6.37509,35.70839,254728,70292,27.5949247825131
11.54853,35.85506,14.48726,13.58488,24.52427,124691,43867,35.180566360042
13.12264,43.39413,13.86513,12.61623,17.00187,192538,68651,35.6558185916546
16.28444,31.16781,9.43566,32.61193,10.50016,30557,6042,19.7728834636908
14.61411,27.87699,10.90928,27.75383,18.84579,38461,4893,12.7219781076935
